user_id,user_login,account_createdates,repo_contributed_count,user_commit_count,repo_commit_count,user_comment_count,security_comment_count,expertise_score
1175275,jgrossi,2011-11-06T02:03:35Z,1,681,928,1,1,116.67995689655172
636048,daN4cat,2011-02-24T13:59:37Z,1,1418,4834,1,1,76.26810095159288
82368,Minishlink,2009-05-08T10:04:24Z,1,187,224,1,1,68.45535714285714
223647,ozh,2010-03-16T08:39:05Z,1,1476,1799,2,10,55.29872151195109
444165,pmeenan,2010-10-18T15:32:53Z,1,4589,5955,1,3,40.07187237615449
33135,akrabat,2008-11-07T09:17:43Z,1,574,4089,2,4,39.30545365615065
197404,snipe,2010-02-05T06:13:25Z,1,3971,4481,2,15,37.92876590046865
60632,ginatrapani,2009-03-06T01:33:05Z,1,1944,2866,1,4,32.727843684577806
1847770,jeremyquinton,2012-06-13T19:39:46Z,1,182,1138,2,2,30.54657293497364
134745,westonruter,2009-10-04T03:34:44Z,2,4713,15185,16,50,29.001166941060262
466765,mattab,2010-11-04T02:57:01Z,1,8066,26820,12,56,28.29157877916267
1904430,TysonAndre,2012-06-29T01:18:12Z,2,4580,13558,4,9,27.9254560652997
124070,mapkyca,2009-09-07T08:39:53Z,1,4456,8444,4,6,24.27475130270014
323546,fguillot,2010-07-05T18:57:55Z,1,2823,4100,1,10,23.616804878048782
51931,lonnieezell,2009-02-05T02:37:58Z,1,2982,7980,1,5,22.421052631578945
1392869,daftspunk,2012-01-30T22:26:08Z,1,3020,5500,1,13,19.6827972027972
63312,alanhartless,2009-03-14T05:39:37Z,1,6015,21582,5,23,18.53990644377561
194960,dg,2010-02-03T00:47:26Z,1,3582,4508,1,7,18.502535175560908
1457058,Sephster,2012-02-21T11:41:22Z,1,385,2534,1,2,17.09254143646409
17915152,yukiwongky,2016-03-17T22:41:39Z,1,457,2005,2,4,16.866832917705736
47313,fabpot,2009-01-17T13:42:51Z,3,25881,86116,4,118,16.565163583058247
142037,brusch,2009-10-20T08:51:30Z,1,5958,23411,2,6,16.118064157874503
5000654,oxtoacart,2013-07-13T01:48:56Z,1,286,1003,1,3,15.207710202725156
90977,mikejolley,2009-06-02T10:21:18Z,1,14216,35960,2,32,13.490572858731925
24086,markstory,2008-09-11T02:52:38Z,1,15653,41867,3,51,13.459478825805528
672074,greezybacon,2011-03-15T23:39:50Z,1,3147,7612,2,16,11.524254466631636
1275206,Nyholm,2011-12-20T12:59:42Z,1,226,1378,1,2,11.398403483309144
925519,connortechnology,2011-07-19T14:23:15Z,1,2589,15861,1,4,10.65079440136183
1008324,Alkarex,2011-08-27T11:17:30Z,2,2573,6054,2,13,10.06942644405479
121003,weaverryan,2009-08-30T01:38:33Z,1,497,941,1,2,10.035069075451647
6213903,lchrusciel,2013-12-18T11:24:19Z,1,1476,22321,1,2,9.885847408270239
210006,ianbarber,2010-02-24T14:59:22Z,1,229,1704,1,7,9.714453386988598
36432,danielbachhuber,2008-11-24T20:58:38Z,1,1135,4260,1,7,9.363179074446679
278968,bradymiller,2010-05-17T08:00:16Z,1,2603,8122,1,4,9.133895592218666
418376,DaneEveritt,2010-09-27T23:24:23Z,1,2678,3342,1,9,8.992552696322893
121870,nicosomb,2009-09-01T12:09:29Z,1,1451,5434,1,5,8.971954361428045
202034,colinodell,2010-02-11T19:19:10Z,1,1503,1796,1,3,8.926503340757238
25419741,asbiin,2017-01-29T18:24:23Z,1,672,2606,1,7,8.656945510360707
985772,romw,2011-08-17T10:01:25Z,1,7834,34165,3,9,8.101897653544075
663378,jrfnl,2011-03-11T03:52:46Z,2,2314,5161,4,31,7.9258958316405295
5004534,alexweissman,2013-07-13T21:57:42Z,1,881,2447,1,5,7.848712709440132
2918419,jakejackson1,2012-11-29T05:24:56Z,1,43,718,1,1,7.845403899721449
1449790,pupi1985,2012-02-18T19:12:00Z,1,246,1371,1,3,7.835156819839533
11966684,rugk,2015-04-15T18:28:37Z,1,287,1697,1,2,7.7796110783736
3941142,laf,2013-03-22T12:49:07Z,1,3629,17821,2,7,7.621810544542154
1833361,bobdenotter,2012-06-09T12:33:51Z,1,6323,24312,1,6,7.1087803005374575
23610,dcramer,2008-09-08T06:55:34Z,1,580,1205,1,5,6.449792531120332
86426,splitbrain,2009-05-19T18:52:35Z,1,4604,10874,1,12,6.280362945251671
88061,igorw,2009-05-24T15:32:50Z,1,15,261,1,1,6.091954022988506
7965,rjmackay,2008-04-20T01:43:37Z,1,956,4487,1,4,6.07220860262982
449891,dregad,2010-10-22T15:17:29Z,1,2198,12266,1,3,6.032882221859884
31067,protich,2008-10-26T04:27:01Z,1,3235,7612,1,16,5.923254400945875
11783388,flaviocopes,2015-04-03T08:51:48Z,1,630,5357,1,8,5.718452492066455
273120,tsteur,2010-05-11T07:59:58Z,1,4523,26820,4,56,5.288156493022265
4005415,JDGrimes,2013-03-29T12:54:50Z,1,452,2731,11,29,5.147842775792624
1537529,mwhitneysdsu,2012-03-14T17:51:57Z,1,489,3275,1,5,4.897465648854962
7250506,joseborges,2014-04-10T11:58:59Z,2,1,62,2,2,4.870967741935484
4415912,jrmhaig,2013-05-13T09:59:25Z,1,63,1575,1,1,4.84
11823401,JediKev,2015-04-06T19:31:00Z,1,513,7612,5,16,4.6964907383079355
14057,sourcejedi,2008-06-17T15:37:42Z,2,477,13431,4,56,4.687960687960687
330162,bojanz,2010-07-12T22:43:53Z,1,39,935,2,4,4.629946524064171
624104,benwerd,2011-02-17T21:24:27Z,1,3119,8444,1,6,4.247809095215537
183678,Seldaek,2010-01-16T18:28:47Z,3,5761,65898,3,135,4.151620517904775
878997,LukasReschke,2011-06-27T14:52:26Z,2,4770,99047,9,102,4.117590638787647
