repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
0xced/XCDYouTubeKit,126,2718,1410,8177132,hectordominguez00,0
AFNetworking/AFNetworking,1641,32934,2937,5665498,mohamede1945,0
ChatSecure/ChatSecure-iOS,188,2924,3413,518687,chrisballinger,1780
ChatSecure/ChatSecure-iOS,188,2924,3413,2558195,mwlczk,0
ChatSecure/ChatSecure-iOS,188,2924,3413,16997788,shenjun100,0
ChatSecure/ChatSecure-iOS,188,2924,3413,24790815,lazyadmin111,0
ChatSecure/ChatSecure-iOS,188,2924,3413,3314278,zuglufttier,0
ChatSecure/ChatSecure-iOS,188,2924,3413,3338908,minglini,0
ChatSecure/ChatSecure-iOS,188,2924,3413,71850,weiss,0
ChatSecure/ChatSecure-iOS,188,2924,3413,13604424,meaz,0
ChatSecure/ChatSecure-iOS,188,2924,3413,10137,ghost,0
ChatSecure/ChatSecure-iOS,188,2924,3413,8665047,henkela,0
DanTheMan827/ios-app-signer,145,3394,108,40234755,nupator,0
Hammerspoon/hammerspoon,117,7059,5412,353427,cmsj,2182
Lyndir/MasterPassword,79,1124,1449,8426197,diabolusss,0
Lyndir/MasterPassword,79,1124,1449,36948,lhunath,1413
Lyndir/MasterPassword,79,1124,1449,12907343,emiljoha,2
RestKit/RestKit,439,10292,3509,479619,lhasiuk,0
SDWebImage/SDWebImage,842,22970,2957,57542769,aviraj-ios,0
Squirrel/Squirrel.Mac,39,1305,1039,432536,jspahrsummers,510
Squirrel/Squirrel.Mac,39,1305,1039,22101,keithduncan,0
Squirrel/Squirrel.Mac,39,1305,1039,22659135,RiteshAdobe,0
alinz/react-native-webview-bridge,40,1288,254,5512326,peng051410,0
alinz/react-native-webview-bridge,40,1288,254,8134523,g6ling,1
alinz/react-native-webview-bridge,40,1288,254,14290108,Janendran,0
appcelerator/titanium_mobile,193,2488,33634,26234558,jquick-axway,324
appcelerator/titanium_mobile,193,2488,33634,3252,sgtcoolguy,1199
appcelerator/titanium_mobile,193,2488,33634,1141285,vishalduggal,2030
appcelerator/titanium_mobile,193,2488,33634,1141803,hieupham007,1199
appcelerator/titanium_mobile,193,2488,33634,8366993,garymathews,807
appsquickly/typhoon,96,2674,2959,8303134,leimingdu,0
appsquickly/typhoon,96,2674,2959,3338283,Emailrus,3
aws-amplify/aws-sdk-ios,130,1381,981,2038264,simoami,0
blinksh/blink,127,3995,1920,1548508,ejheil,0
blinksh/blink,127,3995,1920,20878779,mcuix,0
cocos2d/CocosBuilder,171,996,1368,1539812,vlidholt,0
couchbase/couchbase-lite-ios,85,1463,4289,801454,pasin,1192
dooboolab/react-native-iap,28,1519,1078,38022747,theoryweary,0
expo/expo,241,11680,9855,5881327,DianaKoenraadt,0
expo/expo,241,11680,9855,11572604,gtaylor44,0
expo/expo,241,11680,9855,2911971,ramadis,0
expo/expo,241,11680,9855,11021913,pcooney10,1
expo/expo,241,11680,9855,43064944,michalgarcarz,0
expo/expo,241,11680,9855,19383571,reactexcel,0
expo/expo,241,11680,9855,3784618,Daneaz,0
expo/expo,241,11680,9855,90494,brentvatne,1091
expo/expo,241,11680,9855,19958240,esamelson,707
expo/expo,241,11680,9855,34241295,robertobrogi,0
expo/expo,241,11680,9855,21136244,lincdh,0
expo/expo,241,11680,9855,680439,pronevich,0
expo/expo,241,11680,9855,303609,awinograd,2
expo/expo,241,11680,9855,1860417,samithaf,0
expo/expo,241,11680,9855,49151,nikki93,305
expo/expo,241,11680,9855,1511236,dethell,0
expo/expo,241,11680,9855,11357552,iuliuvisovan,0
expo/expo,241,11680,9855,778015,ahmetabdi,0
expo/expo,241,11680,9855,1228574,cuttlas,0
expo/expo,241,11680,9855,497214,fson,46
expo/expo,241,11680,9855,10903600,appjitsu,0
expo/expo,241,11680,9855,247114,kubido,0
expo/expo,241,11680,9855,1548104,jpomykala,0
expo/expo,241,11680,9855,4303914,raRaRa,0
expo/expo,241,11680,9855,5032389,flieks,0
expo/expo,241,11680,9855,1715834,timbrandin,0
expo/expo,241,11680,9855,1926614,towfiqi,0
expo/expo,241,11680,9855,1151041,sjchmiela,886
expo/expo,241,11680,9855,25624592,nolanholden,0
facebook/facebook-ios-sdk,519,6525,1724,362683,moreindirection,0
facebook/idb,108,3119,4030,31597,plu,47
facebookarchive/WebDriverAgent,240,3716,805,18585767,yxys01,0
firebase/firebase-ios-sdk,188,2052,3942,12030338,ssavchenko,0
firebase/firebase-ios-sdk,188,2052,3942,5443583,sathishgodbtech,0
firebase/firebase-ios-sdk,188,2052,3942,8216808,var-const,144
gavinkwoe/BeeFramework,403,3378,289,683199,AllenWang,0
google/santa,141,3236,926,2117646,tburgin,141
google/santa,141,3236,926,69123,russellhancox,722
google/santa,141,3236,926,388808,arubdesu,3
ivpusic/react-native-image-crop-picker,71,4501,431,8383415,kviswanath,0
johnezang/JSONKit,348,6212,69,277947,mast,0
jpush/jpush-react-native,45,1169,777,3972775,JianFengH,0
magus/react-native-facebook-login,33,1224,275,4691768,francisrod01,0
magus/react-native-facebook-login,33,1224,275,23170091,pisangGoreng,0
magus/react-native-facebook-login,33,1224,275,32809621,williamgoodhew,0
magus/react-native-facebook-login,33,1224,275,7880624,BigPun86,1
magus/react-native-facebook-login,33,1224,275,27147880,rawris,0
material-components/material-components-ios,160,4110,8846,45670,jverkoey,1675
microsoft/react-native-code-push,218,7040,1681,116461,lostintangent,498
microsoft/react-native-code-push,218,7040,1681,5361176,amrew,0
microsoft/react-native-code-push,218,7040,1681,13234108,alexandergoncharov,31
mixpanel/mixpanel-iphone,124,921,2230,44349218,martianplatypus,0
pinterest/PINCache,83,2337,494,90045,garrettmoon,163
rFlex/SCRecorder,141,3022,522,13540041,ayurkows,0
rnapier/RNCachingURLProtocol,49,951,32,131438,dwx360,0
robbiehanson/XMPPFramework,398,5802,1380,1395969,tiagoaap,0
sequelpro/sequelpro,194,7962,4683,10166983,Kraddle,0
sparkle-project/Sparkle,168,5024,2573,4399718,sdegutis,0
utmapp/UTM,169,5521,497,35763237,suliveevil,0
0xced/XCDYouTubeKit,126,2718,1410,3588216,SanderDK,0
0xced/XCDYouTubeKit,126,2718,1410,3395065,xingzhi,0
AFNetworking/AFNetworking,1641,32934,2937,1206402,duttski,2
AFNetworking/AFNetworking,1641,32934,2937,1715927,inscrutablemike,0
AFNetworking/AFNetworking,1641,32934,2937,936793,orkoden,0
AFNetworking/AFNetworking,1641,32934,2937,504401,raylillywhite,0
AFNetworking/AFNetworking,1641,32934,2937,1259453,honus,0
AFNetworking/AFNetworking,1641,32934,2937,654722,kyle-fox,0
AFNetworking/AFNetworking,1641,32934,2937,157646,matzew,1
AFNetworking/AFNetworking,1641,32934,2937,1407264,ungacy,0
AFNetworking/AFNetworking,1641,32934,2937,18435901,KGouthaman,0
AFNetworking/AFNetworking,1641,32934,2937,964558,Shukuyen,0
AFNetworking/AFNetworking,1641,32934,2937,893158,ricardo72,0
AFNetworking/AFNetworking,1641,32934,2937,2143362,leiyong316,0
AFNetworking/AFNetworking,1641,32934,2937,615959,florianalbrecht,0
AFNetworking/AFOAuth2Manager,47,1176,128,739701,booiiing,0
AFNetworking/AFOAuth2Manager,47,1176,128,158591,blixt,0
B-Sides/ELCImagePickerController,92,1666,129,5904710,shai126,1
BlocksKit/BlocksKit,267,6918,1124,2537227,josipbernat,0
Cenmrev/V2RayX,168,5846,311,18322610,Chandler-Lu,16
CocoaLumberjack/CocoaLumberjack,399,12104,1992,2002919,syrakozz,0
Cocoanetics/DTCoreText,208,5975,2807,80060,johnezang,7
CoderMJLee/MJExtension,333,8327,310,8169620,IronMan-I,0
CoderMJLee/MJExtension,333,8327,310,526008,ElfSundae,1
Friend-LGA/LGAlertView,28,1016,65,1125736,paresh-navadiya,0
Instagram/IGListKit,334,11371,637,739696,rnystrom,7
KJCracks/Clutch,179,2964,217,3028703,mr-gosh,0
KrauseFx/TSMessages,164,4955,260,12240490,johnnypayso,0
Lyndir/MasterPassword,79,1124,1449,1098466,alexlawrence,0
MacPass/MacPass,219,5582,2404,1593279,dacrome,0
Mantle/Mantle,411,11252,1246,961592,daveanderson,0
Mantle/Mantle,411,11252,1246,795368,sarunw,0
Mantle/Mantle,411,11252,1246,431972,smic,0
MiniKeePass/MiniKeePass,94,895,1211,5050591,raw-deluxe,0
MugunthKumar/MKNetworkKit,234,3125,437,21636,smazurov,0
OpenEmu/OpenEmu,438,11841,6328,10595183,PlutoX86,0
ResearchKit/ResearchKit,311,5361,3467,444313,rsanchezsaez,866
SDWebImage/SDWebImage,842,22970,2957,6132618,bizibizi,0
SDWebImage/SDWebImage,842,22970,2957,4064581,dungeonsnd,0
SDWebImage/SDWebImage,842,22970,2957,6919743,dreampiggy,1277
SDWebImage/SDWebImage,842,22970,2957,8554679,SSDIAshokPathak,0
SelfControlApp/selfcontrol,82,3069,310,14929755,koenige50,0
ShareKit/ShareKit,117,2200,1602,667299,bfruin,0
Simbul/baker,103,1562,942,483493,yozehariando,0
Simbul/baker,103,1562,942,449883,nin9creative,6
SnapKit/Masonry,751,17810,406,525291,sreejithp,0
TeehanLax/Upcoming,79,895,316,4266494,justinaguilar,1
TimOliver/TOWebViewController,60,1500,297,113672,veiz,0
TumblrArchive/TMCache,186,3079,243,3121486,luoyibu,0
agilebits/onepassword-app-extension,112,2542,774,3920950,dm-z,0
alinz/react-native-webview-bridge,40,1288,254,12021460,jeffzing,0
appsquickly/typhoon,96,2674,2959,528356,ratkins,0
appsquickly/typhoon,96,2674,2959,430321,jasperblues,1750
appsquickly/typhoon,96,2674,2959,8258748,sdkdimon,0
appsquickly/typhoon,96,2674,2959,11635807,ct4h,0
arnesson/cordova-plugin-firebase,68,986,644,420955,zeroonea,0
atomicobject/objection,91,1775,398,1314393,diljimp,0
atomicobject/objection,91,1775,398,4742646,myshed,0
aws-amplify/aws-sdk-ios,130,1381,981,26827220,mmathewsTableau,0
aws-amplify/aws-sdk-ios,130,1381,981,8554679,SSDIAshokPathak,0
aws-amplify/aws-sdk-ios,130,1381,981,5131549,memreas,0
blinksh/blink,127,3995,1920,25371574,tdprime,0
ccgus/fmdb,567,13434,605,15827352,wenbinzzzz,0
ccgus/fmdb,567,13434,605,980414,dreamor,0
chrismiles/CMPopTipView,107,2749,206,753149,yvsong,0
couchbase/couchbase-lite-ios,85,1463,4289,586075,brendand,1
