repo_name,repo_watcher_count,repo_star_count,repo_commmit_count,user_id,user_login,user_commit_count
3lvis/Networking,26,1232,792,1088217,3lvis,770
64characters/Telephone,52,855,2344,188413,eofster,1886
64characters/Telephone,52,855,2344,28652817,brdelphus,0
Alamofire/Alamofire,1086,34239,1459,169110,cnoon,767
Alamofire/Alamofire,1086,34239,1459,21177273,LaurentLK,0
Alamofire/Alamofire,1086,34239,1459,20978227,asynchrony-ringo,0
Alamofire/Alamofire,1086,34239,1459,3393424,rocxteady,0
Alamofire/Alamofire,1086,34239,1459,51020,jshier,172
Alamofire/Alamofire,1086,34239,1459,5278438,chamira,0
Alamofire/Alamofire,1086,34239,1459,1104823,ntnmrndn,1
Alamofire/Alamofire,1086,34239,1459,8164764,davepatterson,0
Alamofire/Alamofire,1086,34239,1459,16461249,hamedaakhlaghi,0
Alamofire/Alamofire,1086,34239,1459,34372802,2dioxyde,0
Alamofire/Alamofire,1086,34239,1459,6587734,AntiMoron,0
Alamofire/Alamofire,1086,34239,1459,469332,ataugeron,0
Alamofire/Alamofire,1086,34239,1459,7659,mattt,232
Alamofire/Alamofire,1086,34239,1459,1365752,carera,0
Alamofire/Alamofire,1086,34239,1459,11671055,avanarden,0
Alamofire/Alamofire,1086,34239,1459,446106,rjsamson,0
Alamofire/Alamofire,1086,34239,1459,1163812,luketheobscure,0
Alamofire/Alamofire,1086,34239,1459,205733,zkirill,0
Alamofire/Alamofire,1086,34239,1459,889388,macu,0
Alamofire/Alamofire,1086,34239,1459,104009,loopj,0
Alamofire/Alamofire,1086,34239,1459,238331,brow,1
Alamofire/Alamofire,1086,34239,1459,1159023,eraye1,0
Alamofire/Alamofire,1086,34239,1459,3356474,skywinder,2
Alamofire/Alamofire,1086,34239,1459,2249425,cslosiu,0
Alamofire/Alamofire,1086,34239,1459,66176,tomj,0
Alamofire/Alamofire,1086,34239,1459,435731,blevine,0
Alamofire/Alamofire,1086,34239,1459,1530131,joshuaziering,0
Alamofire/Alamofire,1086,34239,1459,978863,raeidsaqur,0
Alamofire/Alamofire,1086,34239,1459,3412692,troypayne,0
Alamofire/Alamofire,1086,34239,1459,2553451,qalandarov,0
Alamofire/Alamofire,1086,34239,1459,18726593,tvich1,0
Alamofire/Alamofire,1086,34239,1459,1652595,tnguyen14,0
Alamofire/Alamofire,1086,34239,1459,43604043,sanderdekoning,0
Alamofire/Alamofire,1086,34239,1459,3748453,VadimDez,0
Alamofire/Alamofire,1086,34239,1459,2134076,sagark1510,0
Alamofire/Alamofire,1086,34239,1459,702042,oflannabhra,0
Alamofire/Alamofire,1086,34239,1459,4246780,reitzig,2
Alamofire/AlamofireImage,75,3543,519,51020,jshier,37
Automattic/simplenote-macos,39,1083,2032,154014,bummytime,25
Awesome-Server-Side-Swift/TheList,56,855,54,5561501,twof,0
Boris-Em/BEMCheckBox,47,2468,186,4613643,Boris-Em,150
Boris-Em/BEMCheckBox,47,2468,186,23486909,hartjosh,0
Brightify/Cuckoo,31,1266,445,284197,TadeasKriz,102
Carthage/Carthage,393,13859,4224,432536,jspahrsummers,939
Codigami/CFAlertViewController,30,1028,229,4860897,shardul89,156
Danie1s/Tiercel,28,1805,138,19432029,Danie1s,69
DeclarativeHub/Bond,98,4068,1234,1660804,srdanrasic,824
DeclarativeHub/Bond,98,4068,1234,16569451,debbiegoldsmith,0
DeclarativeHub/Bond,98,4068,1234,17159280,codedbypm,0
DeclarativeHub/ReactiveKit,45,1142,508,49412465,AnthonyMillerSF,5
Finb/Bark,17,964,40,6845272,Finb,40
Finb/Bark,17,964,40,1860806,xtremforce,0
GitHawkApp/GitHawk,80,2705,1908,8223362,jdisho,14
GitHawkApp/GitHawk,80,2705,1908,4190298,BasThomas,126
GitHawkApp/GitHawk,80,2705,1908,739696,rnystrom,554
IBM-Swift/BlueSocket,68,1154,676,11571300,CLAassistant,0
IBM-Swift/Kitura,269,7384,1160,1423497,ianpartridge,99
IBM-Swift/Kitura,269,7384,1160,11974522,seabaylea,2
IBM-Swift/Kitura,269,7384,1160,11030501,nethraravindran,1
IBM-Swift/Kitura,269,7384,1160,5191832,dfirsht,166
IBM-Swift/Kitura,269,7384,1160,17850918,djones6,52
IBM-Swift/Kitura,269,7384,1160,4761859,pushkarnk,10
IBM-Swift/Kitura,269,7384,1160,16103068,shmuelk,112
IBM-Swift/Kitura,269,7384,1160,8655789,codecov-io,0
IBM-Swift/Kitura,269,7384,1160,11571300,CLAassistant,0
IBM-Swift/Kitura,269,7384,1160,11586922,kweinmeister,13
IBM-Swift/Kitura,269,7384,1160,18534315,christiancompton,4
IBM-Swift/Kitura,269,7384,1160,6609246,rolivieri,100
JensRavens/Interstellar,28,1081,142,928979,JensRavens,104
